Product Name,JLR
Station Name,EOL
Serial Number,!193520058!_V29113441
DateTime,20191228_010900
Total Test Time,293.717000
Result,Pass
TestItem,MeasureValue,Unit,LowLimit,HiLimit,Result,CycleTime
Sheung_shui,,,,,Passed,2.532
Switch On CAN_12,,,,,Passed,0.193
Switch On CAN_34,,,,,Passed,0.191
Voltage=12.5V,,,,,Passed,0.227
Voltage=12.5V,,,,,Passed,0.228
Current=5A,,,,,Passed,0.225
12V_DC_Source,,,,,Passed,0.233
Wait,,,,,Passed,0.524
Switch ON Current measure,,,,,Passed,0.196
Switch OFF 12V_9,,,,,Passed,0.203
Wait,,,,,Passed,30.026
Sleep Power Current Measure,79.679,uA,0,100,Passed,0.709
Switch On 12V_9,,,,,Passed,0.191
Wait,,,,,Passed,0.227
Switch OFF Current measure,,,,,Passed,0.194
Wait,,,,,Passed,0.225
Wake up,,,,,Passed,1.068
Wait,,,,,Passed,0.225
Switch ON Current measure,,,,,Passed,0.190
Wait,,,,,Passed,5.026
Standby Power Current Measure,0.705,A,0.5,0.9,Passed,0.540
Wait,,,,,Passed,0.224
Switch OFF Current measure,,,,,Passed,0.193
Connect DUT,,,,,Passed,4.918
Wait,,,,,Passed,0.227
Read MAIN_MSGu8InverterHVILStatus,0,,0,0,Passed,0.045
Switch On 12V_10,,,,,Passed,0.227
Switch On 12V_20,,,,,Passed,0.209
EnvironmentPath,,,,,Passed,1.042
Write MAIN_VSIBenchOnDataTreatmentC=1 ,,,,,Passed,0.208
FPGA version,0d180a03,,0d180a03,,Passed,0.043
MCU version,045,,045,,Passed,0.043
Read FSSMACS_AclState,50,,30,50,Passed,0.046
Read FTSMACS_AclState,3,,3,3,Passed,0.040
Read SASMACS_AclState,2,,2,2,Passed,0.040
Read HV_FS_FaultLevel_U16,0,,0,2,Passed,0.046
Read FTEAEXC_UResExcAvg,0.994,,0.95,1.2,Passed,0.043
Set MAIN_VSIRxaFaultBOverVoltVBat=0,,,,,Passed,0.040
Read MAIN_VSIRxsGridVoltW,3.000,,2,4,Passed,0.040
Wait,,,,,Passed,0.226
Set LV Voltage=10V,,,,,Passed,0.239
Wait,,,,,Passed,0.229
Read_FS_UbatLV_U16,1177,,900,1300,Passed,0.078
Set_LV_Voltage=12V,,,,,Passed,0.247
Wait,,,,,Passed,0.228
Read_FS_UbatLV_U16,1417,,1200,1600,Passed,0.079
Set_LV_Voltage=14V,,,,,Passed,0.243
Wait,,,,,Passed,0.227
Read_FS_UbatLV_U16,1656,,1400,1800,Passed,0.076
Read Correction,0.00835,,0,1,Passed,0.075
LV_Caculation ,,,,,Passed,0.046
NumericTest,0.00835,,0,1,Passed,0.001
Set_LV_Voltage=12.5V,,,,,Passed,0.271
HV_Channel ON,,,,,Passed,0.638
Apply HV Battery = 0V,,,,,Passed,0.073
Set FSEABHV_HighUbatHVThdC=530,,,,,Passed,0.220
Set SAMTBHV_HighVoltageThrC=530,,,,,Passed,0.220
HV_Source ON,,,,,Passed,0.071
Switch On HV_21,,,,,Passed,0.222
Switch On HV_22,,,,,Passed,0.211
Switch On 12V_8,,,,,Passed,0.225
Switch On 12V_9,,,,,Passed,0.206
Read T_Iuvw3_U16[0],2046,,2024,2080,Passed,0.040
Read T_Iuvw3_U16[1],2042,,2024,2080,Passed,0.044
Read T_Iuvw3_U16[2],2053,,2024,2080,Passed,0.047
Read FS_IbatHV_U16,2054,,2024,2080,Passed,0.040
HV_Channel ON,,,,,Passed,0.600
HV_Source ON,,,,,Passed,0.089
Apply HV Battery = 270V,,,,,Passed,0.069
Apply HV Battery =2A,,,,,Passed,0.067
Wait,,,,,Passed,0.526
Read FSEABHV_UbatHV,269.780,,265,273,Passed,0.041
HV_Source OFF,,,,,Passed,0.069
HV_Channel OFF,,,,,Passed,0.611
Wait,,,,,Passed,0.526
Read FSMAPMT_PmTemp,23.983,,18,26,Passed,0.040
Read FSMADBT_DboardTemp,21.745,,20,40,Passed,0.040
Read FSMACBT_CboardTempHV,22.426,,20,40,Passed,0.043
Read FSMACBT_CboardTempLV,21.872,,20,40,Passed,0.045
Read FSMAICT_CoolingTemp,21.447,,18,30,Passed,0.043
Read FSMAMST_StatorTemp1,83.237,,78,88,Passed,0.040
Read FSMAMST_StatorTemp2,86.821,,78,88,Passed,0.040
