Product Name,JLR
Station Name,EOL
Serial Number,!193530016!_V29113441
DateTime,20191227_172748
Total Test Time,304.569000
Result,Pass
TestItem,MeasureValue,Unit,LowLimit,HiLimit,Result,CycleTime
Sheung_shui,,,,,Passed,2.531
Switch On CAN_12,,,,,Passed,0.189
Switch On CAN_34,,,,,Passed,0.189
Voltage=12.5V,,,,,Passed,0.221
Voltage=12.5V,,,,,Passed,0.227
Current=5A,,,,,Passed,0.220
12V_DC_Source,,,,,Passed,0.239
Wait,,,,,Passed,0.524
Switch ON Current measure,,,,,Passed,0.192
Switch OFF 12V_9,,,,,Passed,0.206
Wait,,,,,Passed,30.025
Sleep Power Current Measure,79.285,uA,0,100,Passed,0.706
Switch On 12V_9,,,,,Passed,0.192
Wait,,,,,Passed,0.226
Switch OFF Current measure,,,,,Passed,0.192
Wait,,,,,Passed,0.225
Wake up,,,,,Passed,1.070
Wait,,,,,Passed,0.224
Switch ON Current measure,,,,,Passed,0.191
Wait,,,,,Passed,5.025
Standby Power Current Measure,0.697,A,0.5,0.9,Passed,0.583
Wait,,,,,Passed,0.224
Switch OFF Current measure,,,,,Passed,0.188
Connect DUT,,,,,Passed,6.698
Wait,,,,,Passed,0.228
Read MAIN_MSGu8InverterHVILStatus,0,,0,0,Passed,0.042
Switch On 12V_10,,,,,Passed,0.211
Switch On 12V_20,,,,,Passed,0.216
EnvironmentPath,,,,,Passed,1.295
Write MAIN_VSIBenchOnDataTreatmentC=1 ,,,,,Passed,0.231
FPGA version,0d180a03,,0d180a03,,Passed,0.040
MCU version,045,,045,,Passed,0.043
Read FSSMACS_AclState,50,,30,50,Passed,0.038
Read FTSMACS_AclState,3,,3,3,Passed,0.040
Read SASMACS_AclState,2,,2,2,Passed,0.040
Read HV_FS_FaultLevel_U16,0,,0,2,Passed,0.041
Read FTEAEXC_UResExcAvg,0.999,,0.95,1.2,Passed,0.046
Set MAIN_VSIRxaFaultBOverVoltVBat=0,,,,,Passed,0.038
Read MAIN_VSIRxsGridVoltW,3.000,,2,4,Passed,0.039
Wait,,,,,Passed,0.228
Set LV Voltage=10V,,,,,Passed,0.244
Wait,,,,,Passed,0.226
