Casing Number,Create Date
!192950077!_V29113441,2020-03-24 17:41:08.943912
!193250055!_V29113441,2020-03-24 17:41:08.969840
!192950055!_V29113441,2020-03-24 17:41:08.995745
!193250055!_V29113441,2020-03-24 17:42:29.430431
!193250055!_V29113441,2020-03-24 17:45:08.597178
!192950077!_V29113441,2020-03-24 17:45:08.626140
!192950055!_V29113441,2020-03-24 17:45:08.654055
!193250055!_V29113441,2020-03-24 20:16:09.423168
!192950077!_V29113441,2020-03-24 20:16:09.450154
!192950055!_V29113441,2020-03-24 20:16:09.477025
!192950077!_V29113441,2020-03-24 20:18:29.479075
!193250055!_V29113441,2020-03-24 20:18:29.508989
!192950055!_V29113441,2020-03-24 20:18:29.536919
!193250055!_V29113441,2020-03-24 20:19:18.435730
!192950055!_V29113441,2020-03-24 20:19:18.462659
!193250055!_V29113441,2020-03-24 20:24:48.139632
