Casing Number,Create Date
!192950055!_V29113441,2020-03-21 23:24:56.931985
!193250055!_V29113441,2020-03-21 23:24:56.958703
!192950077!_V29113441,2020-03-21 23:24:56.986629
!193250055!_V29113441,2020-03-22 07:49:49.802653
!192950077!_V29113441,2020-03-22 07:49:49.830609
!192950055!_V29113441,2020-03-22 07:49:49.857537
!192950055!_V29113441,2020-03-22 07:51:57.741209
!192950055!_V29113441,2020-03-22 09:58:53.872567
!193250055!_V29113441,2020-03-22 09:58:53.899521
!192950077!_V29113441,2020-03-22 09:58:53.927446
!192950077!_V29113441,2020-03-22 18:30:06.088840
!192950055!_V29113441,2020-03-22 18:30:06.347140
!192950055!_V29113441,2020-03-22 22:05:29.933883
!192950077!_V29113441,2020-03-22 22:05:29.973797
!192950077!_V29113441,2020-03-22 22:07:29.772876
!192950055!_V29113441,2020-03-22 22:07:30.035197
!192950055!_V29113441,2020-03-22 22:09:30.812686
!192950077!_V29113441,2020-03-22 22:09:31.103908
!192950055!_V29113441,2020-03-22 22:10:10.264469
!192950077!_V29113441,2020-03-22 22:10:10.515831
!192950077!_V29113441,2020-03-22 22:10:27.532779
!192950055!_V29113441,2020-03-22 22:10:27.787101
!192950055!_V29113441,2020-03-22 22:11:08.279757
!192950077!_V29113441,2020-03-22 22:11:08.546073
!193250055!_V29113441,2020-03-22 23:15:22.406313
!192950077!_V29113441,2020-03-22 23:15:22.438227
!192950055!_V29113441,2020-03-22 23:15:22.469145
!192950077!_V29113441,2020-03-23 16:50:06.589420
!192950055!_V29113441,2020-03-23 16:50:06.847733
!192950077!_V29113441,2020-03-23 16:54:15.225122
!192950055!_V29113441,2020-03-23 16:54:15.485426
!192950077!_V29113441,2020-03-23 16:54:53.043698
!192950055!_V29113441,2020-03-23 16:54:53.304001
!192950077!_V29113441,2020-03-23 16:55:13.741180
!192950055!_V29113441,2020-03-23 16:55:13.782071
!192950077!_V29113441,2020-03-23 17:18:57.570719
!192950055!_V29113441,2020-03-23 17:18:57.844990
!192950077!_V29113441,2020-03-23 17:25:40.884119
!192950055!_V29113441,2020-03-23 17:25:40.933986
!192950055!_V29113441,2020-03-23 17:28:27.397500
!192950077!_V29113441,2020-03-23 18:00:26.508502
!192950055!_V29113441,2020-03-23 18:00:26.549392
